scheme,subtype,resolution,forecast_date,target_date,horizon,location,variant,median,truth,abs_error,wis,partition_size,cov_50,width_50,lo_50,hi_50,cov_80,width_80,lo_80,hi_80,cov_95,width_95,lo_95,hi_95
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,K:80K,0.001,0.0,0.001,0.0011071428571428573,14,1,0.005,0.0,0.005,1,0.013,0.0,0.013,1,0.033,0.0,0.033
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,K:88I,0.0,0.0,0.0,0.00025000000000000006,14,1,0.001,0.0,0.001,1,0.003,0.0,0.003,1,0.013,0.0,0.013
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,Africa,J.2.4,0.07,0.5,0.43,0.4017571428571429,14,0,0.030999999999999993,0.058,0.089,0,0.061,0.045,0.106,0,0.092,0.038,0.13
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,China,J.2,0.0,0.0,0.0,0.0001142857142857143,14,1,0.001,0.0,0.001,1,0.001,0.0,0.001,1,0.002,0.0,0.002
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,China,J.2.2,0.009,0.0,0.009,0.006571428571428571,14,0,0.005,0.007,0.012,0,0.009000000000000001,0.005,0.014,0,0.013999999999999999,0.004,0.018
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,China,J.2.3,0.0,0.0,0.0,7.142857142857149e-06,14,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.001,0.0,0.001
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,China,J.2.4:160K,0.0,0.0,0.0,0.00018571428571428577,14,1,0.001,0.0,0.001,1,0.002,0.0,0.002,1,0.008,0.0,0.008
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,China,J.2.4:79V-144N-158D-160K-328A,0.0,0.0,0.0,4.285714285714286e-05,14,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.002,0.0,0.002
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,China,K,0.825,1.0,0.17500000000000004,0.13128571428571428,14,0,0.08199999999999996,0.781,0.863,0,0.15900000000000003,0.736,0.895,0,0.2240000000000001,0.688,0.912
emerging_haplotype,h3n2,region,2026-01-15,2026-01-22,7,China,K:145N,0.006,0.0,0.006,0.0038785714285714287,14,0,0.013,0.002,0.015,0,0.031,0.001,0.032,1,0.049,0.0,0.049
